County,Date,Count
Clay,2020-10-08,2
Clay,2020-10-10,2
Clay,2020-10-11,1
Clay,2020-10-13,1
Clay,2020-10-14,1
Clay,2020-10-26,1
Clay,2020-10-27,2
Clay,2020-10-31,1
Collier,2020-03-27,1
Collier,2020-03-29,1
Collier,2020-03-30,3
Collier,2020-04-03,1
Collier,2020-04-05,2
Collier,2020-04-09,2
Collier,2020-04-10,2
Collier,2020-04-12,1
Collier,2020-04-13,1
Collier,2020-04-14,1
Collier,2020-04-15,2
Collier,2020-04-16,1
Collier,2020-04-17,2
Collier,2020-04-20,1
Collier,2020-04-21,1
Collier,2020-04-22,1
Collier,2020-04-23,1
Collier,2020-04-24,2
Collier,2020-04-25,2
Collier,2020-04-27,1
Collier,2020-04-28,2
Collier,2020-04-29,4
Collier,2020-04-30,3
Collier,2020-05-01,1
Collier,2020-05-03,1
Collier,2020-05-04,3
Collier,2020-05-05,2
Collier,2020-05-07,1
Collier,2020-05-08,1
Collier,2020-05-10,1
Collier,2020-05-11,2
Collier,2020-05-12,4
Collier,2020-05-13,2
Collier,2020-05-16,1
Collier,2020-05-20,2
Collier,2020-05-21,2
Collier,2020-05-22,1
Collier,2020-05-23,1
Collier,2020-05-25,1
Collier,2020-05-28,1
Collier,2020-05-29,1
Collier,2020-05-30,1
Collier,2020-06-02,2
Collier,2020-06-03,4
Collier,2020-06-04,1
Collier,2020-06-05,1
Collier,2020-06-06,2
Collier,2020-06-08,1
Collier,2020-06-11,2
Collier,2020-06-13,1
Collier,2020-06-15,1
Collier,2020-06-18,1
Collier,2020-06-20,1
Collier,2020-06-21,2
Collier,2020-06-23,1
Collier,2020-06-25,3
Collier,2020-06-26,3
Collier,2020-06-27,10
Collier,2020-06-28,1
Collier,2020-06-30,1
Collier,2020-07-01,3
Collier,2020-07-02,1
Collier,2020-07-03,2
Collier,2020-07-04,1
Collier,2020-07-05,1
Collier,2020-07-06,4
Collier,2020-07-07,2
Collier,2020-07-08,4
Collier,2020-07-09,8
Collier,2020-07-10,2
Collier,2020-07-11,1
Collier,2020-07-12,5
Collier,2020-07-13,4
Collier,2020-07-14,2
Collier,2020-07-15,2
Collier,2020-07-16,5
Collier,2020-07-17,1
Collier,2020-07-19,3
Collier,2020-07-20,1
Collier,2020-07-21,4
Collier,2020-07-22,7
Collier,2020-07-23,3
